Hamming Distance,Number of Images
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,3
23,0
24,1
25,0
26,0
27,0
28,0
29,0
30,1
31,0
32,3
33,0
34,0
35,0
36,2
37,0
38,2
39,0
40,1
41,0
42,6
43,0
44,4
45,0
46,2
47,0
48,6
49,0
50,4
51,0
52,7
53,0
54,6
55,0
56,7
57,0
58,10
59,0
60,11
61,0
62,8
63,0
64,12
65,0
66,15
67,0
68,8
69,0
70,10
71,0
72,7
73,0
74,17
75,0
76,21
77,0
78,23
79,0
80,23
81,0
82,23
83,0
84,26
85,0
86,20
87,0
88,19
89,0
90,25
91,0
92,15
93,0
94,23
95,0
96,25
97,0
98,28
99,0
100,23
101,0
102,38
103,0
104,24
105,0
106,33
107,0
108,36
109,0
110,31
111,0
112,33
113,0
114,36
115,0
116,27
117,0
118,31
119,0
120,20
121,0
122,23
123,0
124,23
125,0
126,10
127,0
128,19
129,0
130,15
131,0
132,6
133,0
134,13
135,0
136,13
137,0
138,0
139,0
140,3
141,0
142,3
143,0
144,5
145,0
146,2
147,0
148,1
149,0
150,1
151,0
152,2
153,0
154,2
155,0
156,1
157,0
158,1
159,0
160,0
161,0
162,0
163,0
164,1
165,0
166,0
167,0
168,0
169,0
170,0
171,0
172,0
173,0
174,0
175,0
176,0
177,0
178,0
179,0
180,0
181,0
182,0
183,0
184,0
185,0
186,0
187,0
188,0
189,0
190,0
191,0
192,0
193,0
194,0
195,0
196,0
197,0
198,0
199,0
200,0
201,0
202,0
203,0
204,0
205,0
206,0
207,0
208,0
209,0
210,0
211,0
212,0
213,0
214,0
215,0
216,0
217,0
218,0
219,0
220,0
221,0
222,0
223,0
224,0
225,0
226,0
227,0
228,0
229,0
230,0
231,0
232,0
233,0
234,0
235,0
236,0
237,0
238,0
239,0
240,0
241,0
242,0
243,0
244,0
245,0
246,0
247,0
248,0
249,0
250,0
251,0
252,0
253,0
254,0
255,0
256,0
