Transformation,Parameter,Average Distance
AverageFilter,3.0,17.2
AverageFilter,5.0,13.4
AverageFilter,7.0,8.1
Brightness,0.5,17.3
Brightness,1.5,6.8
Brightness,2.0,5.4
Contrast,0.5,17.0
Contrast,1.5,9.1
Contrast,2.0,6.0
GaussianBlur,3.0,16.4
GaussianBlur,5.0,10.3
GaussianBlur,7.0,5.5
GaussianNoise,0.02,19.2
GaussianNoise,0.04,19.8
GaussianNoise,0.08,19.1
JPEG,50.0,17.0
JPEG,70.0,14.6
JPEG,90.0,16.6
JPEG2000,50.0,19.5
JPEG2000,70.0,19.5
JPEG2000,90.0,19.5
MedianBlur,3.0,20.1
MedianBlur,5.0,17.2
MedianBlur,7.0,16.8
Resize,0.25,2.6
Resize,0.5,4.8
Resize,0.75,10.2
Resize,1.5,19.1
Resize,2.0,19.2
Saturation,0.5,18.6
Saturation,1.5,16.9
Saturation,2.0,11.6
Sharpness,0.5,18.3
Sharpness,1.5,19.5
Sharpness,2.0,19.7
WebP,50.0,13.3
WebP,70.0,15.0
WebP,90.0,15.8
