Transformation,Parameter,Average Bit Accuracy
AverageFilter,3.0,99.82
AverageFilter,5.0,99.76
AverageFilter,7.0,99.31
Brightness,0.5,99.43
Brightness,1.5,93.87
Brightness,2.0,89.08
Contrast,0.5,99.24
Contrast,1.5,96.02
Contrast,2.0,89.78
GaussianBlur,3.0,99.8
GaussianBlur,5.0,99.38
GaussianBlur,7.0,97.98
GaussianNoise,0.02,99.86
GaussianNoise,0.04,99.85
GaussianNoise,0.08,99.85
JPEG,50.0,99.44
JPEG,70.0,99.59
JPEG,90.0,99.76
JPEG2000,50.0,99.86
JPEG2000,70.0,99.86
JPEG2000,90.0,99.86
MedianBlur,3.0,99.84
MedianBlur,5.0,99.78
MedianBlur,7.0,99.77
Resize,0.25,94.92
Resize,0.5,99.27
Resize,0.75,99.77
Resize,1.5,99.85
Resize,2.0,99.85
Saturation,0.5,99.73
Saturation,1.5,99.61
Saturation,2.0,99.04
Sharpness,0.5,99.85
Sharpness,1.5,99.84
Sharpness,2.0,99.84
WebP,50.0,99.36
WebP,70.0,99.53
WebP,90.0,99.75
